,ID,Gene,VF,Source_Organism
0,>VFG037170(gb|WP_001081754),(plc1) phospholipase C,Phospholipase C (VF0470) - Exotoxin (VFC0235),Acinetobacter baumannii 1656-2
1,>VFG037177(gb|WP_000632986),(plc2) phospholipase C,Phospholipase C (VF0470) - Exotoxin (VFC0235),Acinetobacter baumannii ACICU
2,>VFG037172(gb|WP_001081748),(plc1) phospholipase C,Phospholipase C (VF0470) - Exotoxin (VFC0235),Acinetobacter baumannii AB0057
3,>VFG037173(gb|WP_000633004),(plc2) phospholipase C,Phospholipase C (VF0470) - Exotoxin (VFC0235),Acinetobacter baumannii AB0057
4,>VFG037176(gb|WP_001081735),(plc1) phospholipase C,Phospholipase C (VF0470) - Exotoxin (VFC0235),Acinetobacter baumannii ACICU
5,>VFG037178(gb|YP_001083140),(plc1) phospholipase C,Phospholipase C (VF0470) - Exotoxin (VFC0235),Acinetobacter baumannii ATCC 17978
6,>VFG037179(gb|YP_001085084),(plc2) phospholipase C,Phospholipase C (VF0470) - Exotoxin (VFC0235),Acinetobacter baumannii ATCC 17978
7,>VFG037182(gb|WP_001081755),(plc1) phospholipase C,Phospholipase C (VF0470) - Exotoxin (VFC0235),Acinetobacter baumannii BJAB07104
8,>VFG037184(gb|WP_001081758),(plc1) phospholipase C,Phospholipase C (VF0470) - Exotoxin (VFC0235),Acinetobacter baumannii BJAB0715
9,>VFG037185(gb|WP_020753227),(plc2) phospholipase C,Phospholipase C (VF0470) - Exotoxin (VFC0235),Acinetobacter baumannii BJAB0715
10,>VFG037186(gb|WP_001081765),(plc1) phospholipase C,Phospholipase C (VF0470) - Exotoxin (VFC0235),Acinetobacter baumannii BJAB0868
11,>VFG037188(gb|WP_001081762),(plc1) phospholipase C,Phospholipase C (VF0470) - Exotoxin (VFC0235),Acinetobacter baumannii D1279779
12,>VFG037189(gb|WP_000632992),(plc2) phospholipase C,Phospholipase C (VF0470) - Exotoxin (VFC0235),Acinetobacter baumannii D1279779
13,>VFG037194(gb|WP_001081740),(plc1) phospholipase C,Phospholipase C (VF0470) - Exotoxin (VFC0235),Acinetobacter baumannii SDF
14,>VFG037195(gb|WP_000633005),(plc2) phospholipase C,Phospholipase C (VF0470) - Exotoxin (VFC0235),Acinetobacter baumannii SDF
15,>VFG037196(gb|YP_005796961),(plc1) phospholipase C,Phospholipase C (VF0470) - Exotoxin (VFC0235),Acinetobacter baumannii TCDC-AB0715
16,>VFG037198(gb|WP_001081736),(plc1) phospholipase C,Phospholipase C (VF0470) - Exotoxin (VFC0235),Acinetobacter baumannii TYTH-1
17,>VFG037203(gb|WP_000079188),(plcD) phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase,Phospholipase D (VF0469) - Exotoxin (VFC0235),Acinetobacter baumannii ACICU
18,>VFG037201(gb|WP_000079186),(plcD) phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase,Phospholipase D (VF0469) - Exotoxin (VFC0235),Acinetobacter baumannii AB0057
19,>VFG037204(gb|YP_001085994),(plcD) phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase,Phospholipase D (VF0469) - Exotoxin (VFC0235),Acinetobacter baumannii ATCC 17978
20,>VFG037207(gb|WP_000079188),(plcD) phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase,Phospholipase D (VF0469) - Exotoxin (VFC0235),Acinetobacter baumannii BJAB0715
21,>VFG037209(gb|WP_000079185),(plcD) phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase,Phospholipase D (VF0469) - Exotoxin (VFC0235),Acinetobacter baumannii D1279779
22,>VFG037212(gb|WP_000079187),(plcD) phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase,Phospholipase D (VF0469) - Exotoxin (VFC0235),Acinetobacter baumannii SDF
23,>VFG037218(gb|WP_000983821),(basJ) acinetobactin biosynthesis protein BasJ,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ACICU
24,>VFG037216(gb|WP_000983826),(basJ) acinetobactin biosynthesis protein BasJ,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii AB0057
25,>VFG037219(gb|YP_001085393),(basJ) acinetobactin biosynthesis protein BasJ,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ATCC 17978
26,>VFG037222(gb|WP_000983827),(basJ) acinetobactin biosynthesis protein BasJ,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii BJAB0715
27,>VFG037224(gb|WP_000983828),(basJ) acinetobactin biosynthesis protein BasJ,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii D1279779
28,>VFG037232(gb|WP_001093095),(basI) phosphopantetheinyl transferase component of acinetobactin biosynthesis protein BasI,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ACICU
29,>VFG037230(gb|WP_001093105),(basI) phosphopantetheinyl transferase component of acinetobactin biosynthesis protein BasI,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii AB0057
30,>VFG037231,(basI) phosphopantetheinyl transferase component of acinetobactin biosynthesis protein BasI,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii AB307-0294
31,>VFG037233(gb|YP_001085394),(basI) phosphopantetheinyl transferase component of acinetobactin biosynthesis protein BasI,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ATCC 17978
32,>VFG037236(gb|WP_001093099),(basI) phosphopantetheinyl transferase component of acinetobactin biosynthesis protein BasI,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii BJAB0715
33,>VFG037238(gb|WP_001093106),(basI) phosphopantetheinyl transferase component of acinetobactin biosynthesis protein BasI,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii D1279779
34,>VFG037243(gb|WP_001032913),(basH) non-ribosomal peptide biosynthesis thioesterase BasH,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii 1656-2
35,>VFG037244(gb|WP_001032905),(basH) non-ribosomal peptide biosynthesis thioesterase BasH,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii AB0057
36,>VFG037246(gb|WP_001032906),(basH) non-ribosomal peptide biosynthesis thioesterase BasH,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ACICU
37,>VFG037247(gb|YP_001085395),(basH) non-ribosomal peptide biosynthesis thioesterase BasH,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ATCC 17978
38,>VFG037250(gb|WP_020753355),(basH) non-ribosomal peptide biosynthesis thioesterase BasH,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii BJAB0715
39,>VFG037252(gb|WP_001032911),(basH) non-ribosomal peptide biosynthesis thioesterase BasH,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii D1279779
40,>VFG037255(gb|YP_005799703),(basH) non-ribosomal peptide biosynthesis thioesterase BasH,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii TCDC-AB0715
41,>VFG037260(gb|WP_001095752),(barB) siderophore efflux system of the ABC superfamily,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ACICU
42,>VFG037258(gb|WP_001090101),(barB) siderophore efflux system of the ABC superfamily,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii AB0057
43,>VFG037261(gb|YP_001085396),(barB) siderophore efflux system of the ABC superfamily,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ATCC 17978
44,>VFG037264(gb|WP_020753356),(barB) siderophore efflux system of the ABC superfamily,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii BJAB0715
45,>VFG037266(gb|WP_001090102),(barB) siderophore efflux system of the ABC superfamily,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii D1279779
46,>VFG037271,(barA) siderophore efflux system of the ABC superfamily,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii 1656-2
47,>VFG037272(gb|WP_001281555),(barA) siderophore efflux system of the ABC superfamily,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii AB0057
48,>VFG037273(gb|WP_001281554),(barA) siderophore efflux system of the ABC superfamily,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii AB307-0294
49,>VFG037274(gb|WP_001281538),(barA) siderophore efflux system of the ABC superfamily,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ACICU
50,>VFG037275(gb|YP_001085399),(barA) siderophore efflux system of the ABC superfamily,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ATCC 17978
51,>VFG037277(gb|WP_031967279),(barA) siderophore efflux system of the ABC superfamily,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii BJAB07104
52,>VFG037278(gb|WP_139161447),(barA) siderophore efflux system of the ABC superfamily,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii BJAB0715
53,>VFG037280(gb|WP_001281545),(barA) siderophore efflux system of the ABC superfamily,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii D1279779
54,>VFG037288(gb|WP_000603876),(basG) acinetobactin biosynthesis protein BasF,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ACICU
55,>VFG037286(gb|WP_000603880),(basG) acinetobactin biosynthesis protein BasF,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii AB0057
56,>VFG037289(gb|YP_001085400),(basG) acinetobactin biosynthesis protein BasF,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ATCC 17978
57,>VFG037292(gb|WP_000603878),(basG) acinetobactin biosynthesis protein BasF,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii BJAB0715
58,>VFG037294(gb|WP_000603864),(basG) acinetobactin biosynthesis protein BasF,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii D1279779
