Entry	Entry Name	Gene Names	Gene Names (ordered locus)	Protein names	Gene Ontology IDs	Gene Ontology (biological process)	Gene Ontology (molecular function)	Gene Ontology (cellular component)
G3XD23	WBPB_PSEAE	wbpB wlbA PA3158	PA3158	UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate oxidase (EC 1.1.1.335) (UDP-2-acetamido-2-deoxy-alpha-D-glucuronic acid 3-dehydrogenase) (UDP-N-acetyl-D-glucosaminuronic acid 3-oxidase) (UDP-D-GlcNAcA 3-oxidase)	GO:0000271; GO:0003954; GO:0004617; GO:0006065; GO:0009103; GO:0009243; GO:0016616; GO:0051262; GO:0070403; GO:0070404; GO:0071555	cell wall organization [GO:0071555]; lipopolysaccharide biosynthetic process [GO:0009103]; O antigen biosynthetic process [GO:0009243]; polysaccharide biosynthetic process [GO:0000271]; protein tetramerization [GO:0051262]; UDP-glucuronate biosynthetic process [GO:0006065]	NAD+ binding [GO:0070403]; NADH binding [GO:0070404]; NADH dehydrogenase activity [GO:0003954]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]; phosphoglycerate dehydrogenase activity [GO:0004617]	
P00282	AZUR_PSEAE	azu PA4922	PA4922	Azurin	GO:0005507; GO:0005886; GO:0008270; GO:0009055; GO:0042597; GO:0042802; GO:0046914		copper ion binding [GO:0005507]; electron transfer activity [GO:0009055]; identical protein binding [GO:0042802]; transition metal ion binding [GO:0046914]; zinc ion binding [GO:0008270]	periplasmic space [GO:0042597]; plasma membrane [GO:0005886]
P14756	ELAS_PSEAE	lasB PA3724	PA3724	Elastase (EC 3.4.24.26) (Neutral metalloproteinase) (PAE) (Pseudolysin) [Cleaved into: Pro-elastase]	GO:0004175; GO:0004222; GO:0005576; GO:0006508; GO:0015628; GO:0043952; GO:0044010; GO:0046872; GO:0071978	bacterial-type flagellum-dependent swarming motility [GO:0071978]; protein secretion by the type II secretion system [GO:0015628]; protein transport by the Sec complex [GO:0043952]; proteolysis [GO:0006508]; single-species biofilm formation [GO:0044010]	endopeptidase activity [GO:0004175]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]	extracellular region [GO:0005576]
P20581	PQSE_PSEAE	pqsE PA1000	PA1000	2-aminobenzoylacetyl-CoA thioesterase (EC 3.1.2.32)	GO:0008800; GO:0044550; GO:0046872	secondary metabolite biosynthetic process [GO:0044550]	beta-lactamase activity [GO:0008800]; metal ion binding [GO:0046872]	
P20586	PHHY_PSEAE	pobA PA0247	PA0247	p-hydroxybenzoate hydroxylase (PHBH) (EC 1.14.13.2) (4-hydroxybenzoate 3-monooxygenase)	GO:0016491; GO:0018659; GO:0043640; GO:0050660; GO:0071949; GO:0106356	benzoate catabolic process via hydroxylation [GO:0043640]	4-hydroxybenzoate 3-monooxygenase (NADPH) activity [GO:0106356]; 4-hydroxybenzoate 3-monooxygenase activity [GO:0018659]; FAD binding [GO:0071949]; flavin adenine dinucleotide binding [GO:0050660]; oxidoreductase activity [GO:0016491]	
P25084	LASR_PSEAE	lasR PA1430	PA1430	Transcriptional activator protein LasR	GO:0000976; GO:0001216; GO:0003700; GO:0006351; GO:0006355; GO:0009372; GO:0010468; GO:0032993; GO:0043565; GO:0045893; GO:0060310	DNA-templated transcription [GO:0006351]; positive regulation of DNA-templated transcription [GO:0045893]; quorum sensing [GO:0009372]; regulation of DNA-templated transcription [GO:0006355]; regulation of elastin catabolic process [GO:0060310]; regulation of gene expression [GO:0010468]	DNA-binding transcription activator activity [GO:0001216]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; transcription cis-regulatory region binding [GO:0000976]	protein-DNA complex [GO:0032993]
P26275	ALGR_PSEAE	algR PA5261	PA5261	Positive alginate biosynthesis regulatory protein	GO:0000156; GO:0000976; GO:0001216; GO:0001217; GO:0005829; GO:0006351; GO:0006355; GO:0032993; GO:0042121; GO:0043107; GO:0043565; GO:0045892; GO:0045893; GO:0071978; GO:1900192; GO:1901031; GO:2000147	alginic acid biosynthetic process [GO:0042121]; bacterial-type flagellum-dependent swarming motility [GO:0071978]; DNA-templated transcription [GO:0006351]; negative regulation of DNA-templated transcription [GO:0045892]; positive regulation of cell motility [GO:2000147]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of single-species biofilm formation [GO:1900192]; regulation of DNA-templated transcription [GO:0006355]; regulation of response to reactive oxygen species [GO:1901031]; type IV pilus-dependent motility [GO:0043107]	DNA-binding transcription activator activity [GO:0001216]; DNA-binding transcription repressor activity [GO:0001217]; phosphorelay response regulator activity [GO:0000156]; sequence-specific DNA binding [GO:0043565]; transcription cis-regulatory region binding [GO:0000976]	cytosol [GO:0005829]; protein-DNA complex [GO:0032993]
P26876	LIP_PSEAE	lip lipA PA2862	PA2862	Triacylglycerol lipase (EC 3.1.1.3) (Extracellular lipase) (Triacylglycerol ester hydrolase)	GO:0004806; GO:0005576; GO:0015628; GO:0016042; GO:0016298; GO:0043952; GO:0046872	lipid catabolic process [GO:0016042]; protein secretion by the type II secretion system [GO:0015628]; protein transport by the Sec complex [GO:0043952]	lipase activity [GO:0016298]; metal ion binding [GO:0046872]; triacylglycerol lipase activity [GO:0004806]	extracellular region [GO:0005576]
P28810	MMSA_PSEAE	mmsA PA3570	PA3570	Methylmalonate-semialdehyde dehydrogenase [acylating] (MMSDH) (EC 1.2.1.27)	GO:0004491; GO:0006210; GO:0006574	L-valine catabolic process [GO:0006574]; thymine catabolic process [GO:0006210]	methylmalonate-semialdehyde dehydrogenase (acylating, NAD) activity [GO:0004491]	
P35482	PPBL_PSEAE	lapA phoA phoA2 pstS PA0688	PA0688	Alkaline phosphatase L (L-AP) (EC 3.1.3.1) (Low-molecular-weight alkaline phosphatase A) (Protein DING)	GO:0004035; GO:0005576; GO:0006817; GO:0015628; GO:0042597; GO:0043952	phosphate ion transport [GO:0006817]; protein secretion by the type II secretion system [GO:0015628]; protein transport by the Sec complex [GO:0043952]	alkaline phosphatase activity [GO:0004035]	extracellular region [GO:0005576]; periplasmic space [GO:0042597]
