kegg_gene_id	locus_tag	pathway_id
pae:PA0552	PA0552	pae00010
pae:PA0555	PA0555	pae00010
pae:PA0887	PA0887	pae00010
pae:PA1017	PA1017	pae00010
pae:PA1498	PA1498	pae00010
pae:PA1587	PA1587	pae00010
pae:PA1770	PA1770	pae00010
pae:PA1982	PA1982	pae00010
pae:PA1984	PA1984	pae00010
pae:PA2119	PA2119	pae00010
pae:PA2250	PA2250	pae00010
pae:PA2266	PA2266	pae00010
pae:PA2275	PA2275	pae00010
pae:PA2323	PA2323	pae00010
pae:PA2555	PA2555	pae00010
pae:PA3001	PA3001	pae00010
pae:PA3193	PA3193	pae00010
pae:PA3195	PA3195	pae00010
pae:PA3629	PA3629	pae00010
pae:PA3635	PA3635	pae00010
pae:PA4022	PA4022	pae00010
pae:PA4152	PA4152	pae00010
pae:PA4329	PA4329	pae00010
pae:PA4732	PA4732	pae00010
pae:PA4733	PA4733	pae00010
pae:PA4748	PA4748	pae00010
pae:PA4829	PA4829	pae00010
pae:PA4899	PA4899	pae00010
pae:PA5015	PA5015	pae00010
pae:PA5016	PA5016	pae00010
pae:PA5110	PA5110	pae00010
pae:PA5131	PA5131	pae00010
pae:PA5192	PA5192	pae00010
pae:PA5322	PA5322	pae00010
pae:PA5422	PA5422	pae00010
pae:PA5427	PA5427	pae00010
pae:PA0795	PA0795	pae00020
pae:PA0854	PA0854	pae00020
pae:PA1562	PA1562	pae00020
pae:PA1580	PA1580	pae00020
pae:PA1581	PA1581	pae00020
pae:PA1582	PA1582	pae00020
pae:PA1583	PA1583	pae00020
pae:PA1584	PA1584	pae00020
pae:PA1585	PA1585	pae00020
pae:PA1586	PA1586	pae00020
pae:PA1587	PA1587	pae00020
pae:PA1588	PA1588	pae00020
pae:PA1589	PA1589	pae00020
pae:PA1787	PA1787	pae00020
pae:PA2250	PA2250	pae00020
pae:PA2623	PA2623	pae00020
pae:PA2624	PA2624	pae00020
pae:PA3452	PA3452	pae00020
pae:PA4152	PA4152	pae00020
pae:PA4333	PA4333	pae00020
pae:PA4470	PA4470	pae00020
pae:PA4640	PA4640	pae00020
pae:PA4829	PA4829	pae00020
pae:PA5015	PA5015	pae00020
pae:PA5016	PA5016	pae00020
pae:PA5192	PA5192	pae00020
pae:PA5435	PA5435	pae00020
pae:PA5436	PA5436	pae00020
pae:PA5445	PA5445	pae00020
pae:PA0330	PA0330	pae00030
pae:PA0548	PA0548	pae00030
pae:PA0555	PA0555	pae00030
pae:PA0607	PA0607	pae00030
pae:PA0849	PA0849	pae00030
pae:PA1499	PA1499	pae00030
pae:PA1950	PA1950	pae00030
pae:PA2261	PA2261	pae00030
pae:PA2263	PA2263	pae00030
pae:PA2264	PA2264	pae00030
pae:PA2265	PA2265	pae00030
pae:PA2266	PA2266	pae00030
pae:PA2290	PA2290	pae00030
pae:PA2321	PA2321	pae00030
pae:PA2323	PA2323	pae00030
pae:PA2796	PA2796	pae00030
pae:PA3131	PA3131	pae00030
pae:PA3181	PA3181	pae00030
pae:PA3182	PA3182	pae00030
pae:PA3183	PA3183	pae00030
pae:PA3194	PA3194	pae00030
pae:PA3373	PA3373	pae00030
pae:PA3896	PA3896	pae00030
pae:PA4204	PA4204	pae00030
pae:PA4670	PA4670	pae00030
pae:PA4732	PA4732	pae00030
pae:PA5110	PA5110	pae00030
pae:PA5322	PA5322	pae00030
pae:PA5439	PA5439	pae00030
pae:PA0224	PA0224	pae00040
