Accession,locus_tag,genome_count_Clade_A,genome_count_Clade_B,absent_count_Clade_A,absent_count_Clade_B,total_genomes_Clade_A,total_genomes_Clade_B,freq_Clade_A,freq_Clade_B,odds_ratio_CladeA_vs_CladeB,p_value,freq_difference_CladeA_minus_CladeB,absolute_freq_difference,freq_ratio,fdr_bh,significant_fdr,significant_and_meaningful,enriched_clade
VFG015165(gb|WP_003134060),,198,2670,8542,169,8740,2839,0.02265446224256293,0.9404719971821064,0.0014437382439748568,0,-0.9178175349395434,0.9178175349395434,41.513763916018235,0,TRUE,TRUE,Clade_B
VFG042211(gb|WP_003134054),,195,2433,8545,406,8740,2839,0.02231121281464531,0.8569918985558295,0.0037908807134838874,0,-0.8346806857411841,0.8346806857411841,38.41081637629718,0,TRUE,TRUE,Clade_B
VFG051486(gb|WP_003140107.1),,759,2134,7981,705,8740,2839,0.0868421052631579,0.7516731243395561,0.031435991476670803,0,-0.6648310190763982,0.6648310190763982,8.655629916637313,0,TRUE,TRUE,Clade_B
VFG016037(gb|WP_011062375),,2301,1949,6439,890,8740,2839,0.26327231121281464,0.6865093342726312,0.16321348629997812,0,-0.42323702305981653,0.42323702305981653,2.6076017303532364,0,TRUE,TRUE,Clade_B
VFG020073(gb|WP_043205221),,715,1427,8025,1412,8740,2839,0.08180778032036613,0.5026417752729835,0.08820815446690687,0,-0.42083399495261736,0.42083399495261736,6.144180581658567,0,TRUE,TRUE,Clade_B
VFG014292(gb|WP_012076715),,3692,2387,5048,452,8740,2839,0.42242562929061783,0.8407890102148644,0.13851779007556247,0,-0.4183633809242466,0.4183633809242466,1.9903835182226206,0,TRUE,TRUE,Clade_B
VFG019785(gb|WP_012613869),,3038,57,5702,2782,8740,2839,0.34759725400457664,0.020077492074674182,26.001486774864052,0,0.32751976192990245,0.32751976192990245,17.312782528403385,0,TRUE,TRUE,Clade_A
VFG019781(gb|WP_012613866),,3034,57,5706,2782,8740,2839,0.3471395881006865,0.020077492074674182,25.949049061872596,0,0.32706209602601233,0.32706209602601233,17.289987554699103,0,TRUE,TRUE,Clade_A
VFG019783(gb|WP_012613867),,3034,57,5706,2782,8740,2839,0.3471395881006865,0.020077492074674182,25.949049061872596,0,0.32706209602601233,0.32706209602601233,17.289987554699103,0,TRUE,TRUE,Clade_A
VFG019786(gb|WP_003122253),,3034,57,5706,2782,8740,2839,0.3471395881006865,0.020077492074674182,25.949049061872596,0,0.32706209602601233,0.32706209602601233,17.289987554699103,0,TRUE,TRUE,Clade_A
