Accession,locus_tag,genome_count_Clade_A,genome_count_Clade_B,absent_count_Clade_A,absent_count_Clade_B,total_genomes_Clade_A,total_genomes_Clade_B,freq_Clade_A,freq_Clade_B,odds_ratio_CladeA_vs_CladeB,p_value,freq_difference_CladeA_minus_CladeB,absolute_freq_difference,freq_ratio,fdr_bh,significant_fdr,significant_and_meaningful,enriched_clade
VFG043628,,3,137,8737,2702,8740,2839,3.4324942791762013e-4,0.04825642831983093,0.006785735360951534,3.679532857580085e-80,-0.04791317889191331,0.04791317889191331,140.5870611717741,7.754615497350028e-79,TRUE,FALSE,Significant_small_difference
VFG042709(gb|WP_003141493),,3,136,8737,2703,8740,2839,3.4324942791762013e-4,0.04790419161676647,0.006838303209713176,1.5240093857228979e-79,-0.04756094218884885,0.04756094218884885,139.56087824351297,3.1721973139861796e-78,TRUE,FALSE,Significant_small_difference
VFG042710(gb|WP_003141495),,3,132,8737,2707,8740,2839,3.4324942791762013e-4,0.04649524480450863,0.007056572420761792,4.465295761069222e-77,-0.04615199537659101,0.04615199537659101,135.4561465304685,8.857045474309069e-76,TRUE,FALSE,Significant_small_difference
VFG042707(gb|WP_003141489),,3,131,8737,2708,8740,2839,3.4324942791762013e-4,0.04614300810144417,0.007113231242009162,1.8453625532589968e-76,-0.04579975867352655,0.04579975867352655,134.42996360220735,3.5355468918121237e-75,TRUE,FALSE,Significant_small_difference
VFG042708(gb|WP_003141491),,3,131,8737,2708,8740,2839,3.4324942791762013e-4,0.04614300810144417,0.007113231242009162,1.8453625532589968e-76,-0.04579975867352655,0.04579975867352655,134.42996360220735,3.5355468918121237e-75,TRUE,FALSE,Significant_small_difference
VFG043480(gb|NP_251450),PA2760,8703,2688,37,151,8740,2839,0.995766590389016,0.9468122578372666,13.209230932038471,3.5441345084110555e-59,0.04895433255174941,0.04895433255174941,1.0517043713223275,5.5327877603528145e-58,TRUE,FALSE,Significant_small_difference
VFG014132(gb|WP_012075036),,256,2,8484,2837,8740,2839,0.029290617848970253,7.044734061289186e-4,42.797570907933334,6.772666619802651e-29,0.028586144442841334,0.028586144442841334,41.57803203661327,8.585500692471632e-28,TRUE,FALSE,Significant_small_difference
VFG014127(gb|WP_012075032),,253,2,8487,2837,8740,2839,0.02894736842105263,7.044734061289186e-4,42.281089642654244,1.7869739479063777e-28,0.028242895014923712,0.028242895014923712,41.09078947368421,2.229897396462645e-27,TRUE,FALSE,Significant_small_difference
VFG014129(gb|WP_003150889),,252,2,8488,2837,8740,2839,0.028832951945080093,7.044734061289186e-4,42.10901034287008,1.798730995960378e-28,0.028128478538951174,0.028128478538951174,40.928375286041195,2.229897396462645e-27,TRUE,FALSE,Significant_small_difference
VFG014130(gb|WP_012075034),,252,2,8488,2837,8740,2839,0.028832951945080093,7.044734061289186e-4,42.10901034287008,1.798730995960378e-28,0.028128478538951174,0.028128478538951174,40.928375286041195,2.229897396462645e-27,TRUE,FALSE,Significant_small_difference
VFG014118(gb|WP_012075024),,251,2,8489,2837,8740,2839,0.02871853546910755,7.044734061289186e-4,41.93697158019231,2.8365617057909764e-28,0.028014062062978632,0.028014062062978632,40.76596109839817,3.344365759415095e-27,TRUE,FALSE,Significant_small_difference
VFG014120(gb|WP_042169654),,251,2,8489,2837,8740,2839,0.02871853546910755,7.044734061289186e-4,41.93697158019231,2.8365617057909764e-28,0.028014062062978632,0.028014062062978632,40.76596109839817,3.344365759415095e-27,TRUE,FALSE,Significant_small_difference
VFG014122(gb|WP_003150874),,251,2,8489,2837,8740,2839,0.02871853546910755,7.044734061289186e-4,41.93697158019231,2.8365617057909764e-28,0.028014062062978632,0.028014062062978632,40.76596109839817,3.344365759415095e-27,TRUE,FALSE,Significant_small_difference
VFG014124(gb|WP_012075029),,251,2,8489,2837,8740,2839,0.02871853546910755,7.044734061289186e-4,41.93697158019231,2.8365617057909764e-28,0.028014062062978632,0.028014062062978632,40.76596109839817,3.344365759415095e-27,TRUE,FALSE,Significant_small_difference
VFG014125(gb|WP_012075030),,251,2,8489,2837,8740,2839,0.02871853546910755,7.044734061289186e-4,41.93697158019231,2.8365617057909764e-28,0.028014062062978632,0.028014062062978632,40.76596109839817,3.344365759415095e-27,TRUE,FALSE,Significant_small_difference
VFG014126(gb|WP_012075031),,251,2,8489,2837,8740,2839,0.02871853546910755,7.044734061289186e-4,41.93697158019231,2.8365617057909764e-28,0.028014062062978632,0.028014062062978632,40.76596109839817,3.344365759415095e-27,TRUE,FALSE,Significant_small_difference
VFG014131(gb|WP_025297833),,246,2,8494,2837,8740,2839,0.028146453089244853,7.044734061289186e-4,41.07738532240985,1.1880306524905179e-27,0.027441979683115934,0.027441979683115934,39.95389016018307,1.37193128773905e-26,TRUE,FALSE,Significant_small_difference
VFG031348(gb|NP_217787),Rv3270,130,150,8610,2689,8740,2839,0.014874141876430207,0.0528355054596689,0.2707187066355167,6.46531007965908e-26,-0.03796136358323869,0.03796136358323869,3.5521716747500474,7.267008529536806e-25,TRUE,FALSE,Significant_small_difference
VFG031371(gb|WP_015288494),,130,150,8610,2689,8740,2839,0.014874141876430207,0.0528355054596689,0.2707187066355167,6.46531007965908e-26,-0.03796136358323869,0.03796136358323869,3.5521716747500474,7.267008529536806e-25,TRUE,FALSE,Significant_small_difference
VFG031372(gb|WP_015303793),,130,150,8610,2689,8740,2839,0.014874141876430207,0.0528355054596689,0.2707187066355167,6.46531007965908e-26,-0.03796136358323869,0.03796136358323869,3.5521716747500474,7.267008529536806e-25,TRUE,FALSE,Significant_small_difference
VFG031387(gb|WP_015695583),,130,150,8610,2689,8740,2839,0.014874141876430207,0.0528355054596689,0.2707187066355167,6.46531007965908e-26,-0.03796136358323869,0.03796136358323869,3.5521716747500474,7.267008529536806e-25,TRUE,FALSE,Significant_small_difference
VFG014119(gb|WP_012075025),,219,2,8521,2837,8740,2839,0.02505720823798627,7.044734061289186e-4,36.453049389636156,2.3877764156184363e-24,0.02435273483185735,0.02435273483185735,35.56870709382151,2.6660867792931684e-23,TRUE,FALSE,Significant_small_difference
VFG041011(gb|NP_248785),PA0095,8681,2741,59,98,8740,2839,0.9932494279176202,0.965480803099683,5.2596610535458685,4.430439728529672e-24,0.027768624817937182,0.027768624817937182,1.0287614468654227,4.914290383092781e-23,TRUE,FALSE,Significant_small_difference
VFG014128(gb|WP_012075033),,215,2,8525,2837,8740,2839,0.02459954233409611,7.044734061289186e-4,35.77045353272425,6.0724628762604065e-24,0.02389506892796719,0.02389506892796719,34.91905034324943,6.691615953839899e-23,TRUE,FALSE,Significant_small_difference
VFG014123(gb|WP_003150878),,214,2,8526,2837,8740,2839,0.02448512585812357,7.044734061289186e-4,35.59990463312649,9.943863642776874e-24,0.02378065245199465,0.02378065245199465,34.75663615560641,1.088659357254663e-22,TRUE,FALSE,Significant_small_difference
VFG019790(gb|WP_003122257),PA3141,8485,2830,255,9,8740,2839,0.9708237986270023,0.9968298696724198,0.10583020836211077,2.9990855632809676e-21,-0.026006071045417523,0.026006071045417523,1.0267876324027048,3.220674050759052e-20,TRUE,FALSE,Significant_small_difference
