Accession,locus_tag,combined_genome_count,number_of_clades_detected,representative_Accession,representative_coverage
VFG015601(gb|WP_003100265),PA0005,10854,2,VFG015599(gb|NP_064725),10855
VFG019939(gb|WP_012613418),PA0005,10854,2,VFG015599(gb|NP_064725),10855
VFG015600(gb|WP_003150817),PA0005,10826,2,VFG015599(gb|NP_064725),10855
VFG015858(gb|WP_003097316),PA0026,11010,2,VFG015856(gb|NP_248716),11062
VFG020046(gb|WP_012613422),PA0026,10949,2,VFG015856(gb|NP_248716),11062
VFG015857(gb|WP_011979056),PA0026,10859,2,VFG015856(gb|NP_248716),11062
VFG015168(gb|WP_003136948),PA0044,11530,2,VFG000148(gb|NP_248734),11530
VFG019979(gb|WP_012613430),PA0044,11530,2,VFG000148(gb|NP_248734),11530
VFG015552(gb|WP_003111526),PA0051,11490,2,VFG015551(gb|NP_248741),11490
VFG020038(gb|WP_012613433),PA0051,11490,2,VFG015551(gb|NP_248741),11490
VFG015365(gb|WP_011979122),PA0071,11543,2,VFG002057(gb|NP_248761),11543
VFG015366(gb|WP_003083632),PA0071,11543,2,VFG002057(gb|NP_248761),11543
VFG019981(gb|WP_003106615),PA0071,11543,2,VFG002057(gb|NP_248761),11543
VFG015373(gb|WP_003136958),PA0072,11541,2,VFG002058(gb|NP_248762),11541
VFG019983(gb|WP_003083634),PA0072,11541,2,VFG002058(gb|NP_248762),11541
VFG015372(gb|WP_011979123),PA0072,11535,2,VFG002058(gb|NP_248762),11541
VFG002059(gb|NP_248763),PA0073,10820,2,VFG019985(gb|WP_003114657),10821
VFG015379(gb|WP_011979124),PA0073,10819,2,VFG019985(gb|WP_003114657),10821
VFG015380(gb|WP_003136959),PA0073,10819,2,VFG019985(gb|WP_003114657),10821
VFG015386(gb|WP_011979125),PA0074,11548,2,VFG002060(gb|NP_248764),11548
VFG015387(gb|WP_003136961),PA0074,11548,2,VFG002060(gb|NP_248764),11548
VFG019987(gb|WP_004351957),PA0074,11548,2,VFG002060(gb|NP_248764),11548
VFG015394(gb|WP_003083639),PA0075,10829,2,VFG002061(gb|NP_248765),10829
VFG019989(gb|WP_012613435),PA0075,10828,2,VFG002061(gb|NP_248765),10829
VFG015393(gb|WP_003157819),PA0075,10823,2,VFG002061(gb|NP_248765),10829
VFG002062(gb|NP_248766),PA0076,10826,2,VFG015399(gb|WP_003083642),10827
VFG019991(gb|WP_003106966),PA0076,10826,2,VFG015399(gb|WP_003083642),10827
VFG015398(gb|WP_011979126),PA0076,10801,2,VFG015399(gb|WP_003083642),10827
VFG015403(gb|WP_011979127),PA0077,11550,2,VFG002063(gb|NP_248767),11550
VFG015404(gb|WP_003111851),PA0077,11550,2,VFG002063(gb|NP_248767),11550
VFG019993(gb|WP_024082388),PA0077,11550,2,VFG002063(gb|NP_248767),11550
VFG015413(gb|WP_003115051),PA0078,11550,2,VFG002064(gb|NP_248768),11550
VFG019995(gb|WP_012613437),PA0078,11550,2,VFG002064(gb|NP_248768),11550
VFG015412(gb|WP_011979128),PA0078,11543,2,VFG002064(gb|NP_248768),11550
VFG015417(gb|WP_011979129),PA0079,11546,2,VFG002065(gb|NP_248769),11546
VFG015418(gb|WP_003115052),PA0079,11546,2,VFG002065(gb|NP_248769),11546
VFG019997(gb|WP_003115052),PA0079,11546,2,VFG002065(gb|NP_248769),11546
VFG015427(gb|WP_003083660),PA0080,10797,2,VFG002066(gb|NP_248770),10797
VFG015426(gb|WP_011979130),PA0080,10783,2,VFG002066(gb|NP_248770),10797
VFG020001(gb|WP_012613438),PA0081,11059,2,VFG002067(gb|NP_248771),11097
VFG015432(gb|WP_011979131),PA0081,2992,2,VFG002067(gb|NP_248771),11097
VFG002068(gb|NP_248772),PA0082,11504,2,VFG020003(gb|WP_003104975),11521
VFG015438(gb|WP_003111627),PA0082,11446,2,VFG020003(gb|WP_003104975),11521
