locus_tag,go_id,go_name,namespace,namespace_name,uniprot_accession,uniprot_gene_names,uniprot_protein_name
PA3158,GO:0071555,cell wall organization,BP,Biological Process,G3XD23,wbpB wlbA PA3158,UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate oxidase (EC 1.1.1.335) (UDP-2-acetamido-2-deoxy-alpha-D-glucuronic acid 3-dehydrogenase) (UDP-N-acetyl-D-glucosaminuronic acid 3-oxidase) (UDP-D-GlcNAcA 3-oxidase)
PA3158,GO:0009103,lipopolysaccharide biosynthetic process,BP,Biological Process,G3XD23,wbpB wlbA PA3158,UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate oxidase (EC 1.1.1.335) (UDP-2-acetamido-2-deoxy-alpha-D-glucuronic acid 3-dehydrogenase) (UDP-N-acetyl-D-glucosaminuronic acid 3-oxidase) (UDP-D-GlcNAcA 3-oxidase)
PA3158,GO:0009243,O antigen biosynthetic process,BP,Biological Process,G3XD23,wbpB wlbA PA3158,UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate oxidase (EC 1.1.1.335) (UDP-2-acetamido-2-deoxy-alpha-D-glucuronic acid 3-dehydrogenase) (UDP-N-acetyl-D-glucosaminuronic acid 3-oxidase) (UDP-D-GlcNAcA 3-oxidase)
PA3158,GO:0000271,polysaccharide biosynthetic process,BP,Biological Process,G3XD23,wbpB wlbA PA3158,UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate oxidase (EC 1.1.1.335) (UDP-2-acetamido-2-deoxy-alpha-D-glucuronic acid 3-dehydrogenase) (UDP-N-acetyl-D-glucosaminuronic acid 3-oxidase) (UDP-D-GlcNAcA 3-oxidase)
PA3158,GO:0051262,protein tetramerization,BP,Biological Process,G3XD23,wbpB wlbA PA3158,UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate oxidase (EC 1.1.1.335) (UDP-2-acetamido-2-deoxy-alpha-D-glucuronic acid 3-dehydrogenase) (UDP-N-acetyl-D-glucosaminuronic acid 3-oxidase) (UDP-D-GlcNAcA 3-oxidase)
PA3158,GO:0006065,UDP-glucuronate biosynthetic process,BP,Biological Process,G3XD23,wbpB wlbA PA3158,UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate oxidase (EC 1.1.1.335) (UDP-2-acetamido-2-deoxy-alpha-D-glucuronic acid 3-dehydrogenase) (UDP-N-acetyl-D-glucosaminuronic acid 3-oxidase) (UDP-D-GlcNAcA 3-oxidase)
PA3158,GO:0070403,NAD+ binding,MF,Molecular Function,G3XD23,wbpB wlbA PA3158,UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate oxidase (EC 1.1.1.335) (UDP-2-acetamido-2-deoxy-alpha-D-glucuronic acid 3-dehydrogenase) (UDP-N-acetyl-D-glucosaminuronic acid 3-oxidase) (UDP-D-GlcNAcA 3-oxidase)
PA3158,GO:0070404,NADH binding,MF,Molecular Function,G3XD23,wbpB wlbA PA3158,UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate oxidase (EC 1.1.1.335) (UDP-2-acetamido-2-deoxy-alpha-D-glucuronic acid 3-dehydrogenase) (UDP-N-acetyl-D-glucosaminuronic acid 3-oxidase) (UDP-D-GlcNAcA 3-oxidase)
PA3158,GO:0003954,NADH dehydrogenase activity,MF,Molecular Function,G3XD23,wbpB wlbA PA3158,UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate oxidase (EC 1.1.1.335) (UDP-2-acetamido-2-deoxy-alpha-D-glucuronic acid 3-dehydrogenase) (UDP-N-acetyl-D-glucosaminuronic acid 3-oxidase) (UDP-D-GlcNAcA 3-oxidase)
PA3158,GO:0016616,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",MF,Molecular Function,G3XD23,wbpB wlbA PA3158,UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate oxidase (EC 1.1.1.335) (UDP-2-acetamido-2-deoxy-alpha-D-glucuronic acid 3-dehydrogenase) (UDP-N-acetyl-D-glucosaminuronic acid 3-oxidase) (UDP-D-GlcNAcA 3-oxidase)
