Accession,locus_tag,combined_genome_count,number_of_clades_detected,n_vfg_for_locus
VFG037853(gb|YP_001083146),A1S_0049,1,1,1
VFG037943(gb|YP_001083152),A1S_0055,1,1,1
VFG037958(gb|YP_001083153),A1S_0056,1,1,1
VFG037988(gb|YP_001083155),A1S_0058,1,1,1
VFG038078(gb|YP_001083161),A1S_0064,1,1,1
VFG038092(gb|YP_001083162),A1S_0065,2,1,1
VFG038106(gb|YP_001083163),A1S_0066,1,1,1
VFG038206(gb|YP_001083200),A1S_0111,1,1,1
VFG050686(gb|YP_001083312.1),A1S_0235,1,1,1
VFG050743(gb|YP_001083348.1),A1S_0271,1,1,1
VFG050471(gb|YP_001083394.1),A1S_0328,1,1,1
VFG050458(gb|YP_001083395.1),A1S_0329,2,1,1
VFG050415(gb|YP_001083555.1),A1S_0500,1,1,1
VFG038235(gb|YP_001083791),A1S_0749,1,1,1
VFG050401(gb|YP_001083930.1),A1S_0896,1,1,1
VFG051043(gb|YP_001084326.1),A1S_1296,1,1,1
VFG051099(gb|YP_001084337.1),A1S_1307,2,1,1
VFG051085(gb|YP_001084338.1),A1S_1308,1,1,1
VFG051029(gb|YP_001084339.1),A1S_1309,1,1,1
VFG050861(gb|YP_001084594.1),A1S_1565,1,1,1
VFG037793(gb|YP_001084994),A1S_1965,1,1,1
VFG037651(gb|YP_001085191),A1S_2162,2,1,1
VFG050773(gb|YP_001085315.1),A1S_2290,1,1,1
VFG037443(gb|YP_001085412),A1S_2391,1,1,1
VFG037639(gb|YP_001085711),A1S_2696,3,1,1
VFG050671(gb|YP_001085820.1),A1S_2812,1,1,1
VFG050582(gb|YP_001086165.1),A1S_3166,2,1,1
VFG050568(gb|YP_001086166.1),A1S_3167,3,1,1
VFG050541(gb|YP_001086167.1),A1S_3168,1,1,1
VFG038140(gb|YP_005796987),ABTW07_0098,1,1,1
VFG038151(gb|YP_005796988),ABTW07_0099,2,1,1
VFG038160(gb|YP_005796989),ABTW07_0100,1,1,1
VFG050423(gb|YP_005797437.1),ABTW07_0539,1,1,1
VFG037518(gb|YP_005797902),ABTW07_1006,1,1,1
VFG050869(gb|YP_005798716.1),ABTW07_1829,1,1,1
VFG037659(gb|YP_005799438),ABTW07_2556,2,1,1
VFG050680(gb|YP_005800157.1),ABTW07_3280,1,1,1
VFG050590(gb|YP_005800452.1),ABTW07_3578,2,1,1
VFG050576(gb|YP_005800453.1),ABTW07_3579,3,1,1
VFG050535(gb|YP_005800456.1),ABTW07_3582,1,1,1
